Distance from Center (cmd=annotatePeaks.pl ../txt/PDXConsensus.txt hg19 -size 6000 -hist 25 -d PDX01 PDX03 PDX04 PDX05)	PDX01 Coverage	PDX01 + Tags	PDX01 - Tags	PDX03 Coverage	PDX03 + Tags	PDX03 - Tags	PDX04 Coverage	PDX04 + Tags	PDX04 - Tags	PDX05 Coverage	PDX05 + Tags	PDX05 - Tags
-275	1.44077992884536	0.0081079702444208	0.00533049946865035	0.647538080056678	0.00260361317747078	0.00242507970244421	0.607434372668279	0.0026971307120085	0.00109032943676939	0.637956250460329	0.00238002125398512	0.00308140276301806
-250	1.53694035022872	0.00959489904357063	0.00546142401700317	0.641161884520015	0.00297555791710946	0.00281190223166844	0.699007393673548	0.00344314558979809	0.00292667375132837	0.625224902936629	0.00267460148777895	0.00301126461211477
-225	1.71238737698102	0.0114184909670563	0.00484420828905418	0.682961388593695	0.00339213602550478	0.00254410201912859	0.863838831483031	0.00304144527098831	0.0025249734325186	0.604276049283995	0.00239404888416578	0.002590435706695
-200	2.05453957399622	0.0162159404888419	0.00483485653560041	0.748848742472548	0.00441870350690754	0.00263336875664187	0.871469916566803	0.00286928799149841	0.00246758767268863	0.607863974495219	0.0030673751328374	0.00208544102019128
-175	2.66687612623018	0.0228182784272058	0.00537725823591921	0.879560750974142	0.00602550478214663	0.00263336875664187	0.981357541773125	0.0041317747077577	0.00258235919234857	0.682284487747395	0.00396046758767268	0.00210414452709883
-150	3.56911703553108	0.0307766206163669	0.00526503719447394	1.10237336167198	0.008510095642933	0.00239532412327312	1.17060845185068	0.00642720510095643	0.00309883103081828	0.821866352416327	0.00538660998937299	0.00228650371944739
-125	5.01945201681837	0.0435791710945825	0.00791158342189158	1.48069429684733	0.0118724760892667	0.00374920297555791	1.77956904153571	0.012682252922423	0.00992773645058449	1.02915583800676	0.00723358129649311	0.00287098831030818
-100	7.23073511065953	0.0596922422954342	0.00869713071200846	2.12008501594049	0.0173028692879916	0.00297555791710946	2.63882922196848	0.0204867162592986	0.00241020191285866	1.49512315737419	0.0123256110520723	0.00254835281615302
-75	9.91651804278577	0.0722890541976675	0.0128586609989374	3.05667729365924	0.0222869287991501	0.00435919234856535	4.2337260044769	0.0308735387885229	0.0052221041445271	2.18365757936048	0.0154023379383636	0.0031001062699256
-50	12.513256018113	0.0766282678002184	0.0189279489904361	3.99468650371948	0.0246376195536667	0.00559404888416577	5.9400366292084	0.0391370882040383	0.00809139213602551	2.94742269125955	0.0187362380446336	0.0046010626992561
-25	14.4204038257184	0.0664348565356053	0.0273912858661009	4.74566064470425	0.0225398512221044	0.00825717321997869	7.45404390982884	0.0346609989373008	0.0169861849096706	3.5832956303069	0.0191430393198726	0.00604123273113708
0	15.027251305273	0.044065462274179	0.0451596174282703	5.07332624867166	0.0161275239107333	0.0154431455897981	7.87070115540281	0.0238150903294368	0.027086078639745	3.83225134415672	0.0111753453772583	0.0113015940488842
