Tag Length (Average tag length = 49.912421)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000001
3	0.000027
4	0.000033
5	0.000064
6	0.000070
7	0.000069
8	0.000074
9	0.000059
10	0.000076
11	0.000078
12	0.000078
13	0.000064
14	0.000064
15	0.000073
16	0.000087
17	0.000082
18	0.000081
19	0.000078
20	0.000084
21	0.000087
22	0.000070
23	0.000085
24	0.000088
25	0.000085
26	0.000074
27	0.000084
28	0.000087
29	0.000083
30	0.000083
31	0.000081
32	0.000086
33	0.000075
34	0.000065
35	0.000071
36	0.000072
37	0.000069
38	0.000069
39	0.000067
40	0.000064
41	0.000066
42	0.000072
43	0.000070
44	0.000167
45	0.000085
46	0.000517
47	0.000011
48	0.002435
49	0.000000
50	0.993792
