Tags per tag position (Median = 1, tags per genomic bp = 0.007)	Fraction of Positions
0	0.000000
1	0.681202
2	0.204382
3	0.068636
4	0.025559
5	0.010541
6	0.004694
7	0.002268
8	0.001159
9	0.000624
10	0.000350
11	0.000200
12	0.000128
13	0.000081
14	0.000054
15	0.000035
16	0.000023
17	0.000016
18	0.000012
19	0.000008
20	0.000007
21	0.000005
22	0.000003
23	0.000002
24	0.000002
25	0.000001
26	0.000001
27	0.000001
28	0.000001
29	0.000000
30	0.000001
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	0.000000
