Tag Length (Average tag length = 49.931145)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000002
3	0.000019
4	0.000031
5	0.000042
6	0.000048
7	0.000051
8	0.000053
9	0.000054
10	0.000057
11	0.000052
12	0.000056
13	0.000054
14	0.000057
15	0.000058
16	0.000057
17	0.000060
18	0.000065
19	0.000062
20	0.000068
21	0.000063
22	0.000067
23	0.000065
24	0.000061
25	0.000063
26	0.000069
27	0.000065
28	0.000068
29	0.000066
30	0.000063
31	0.000069
32	0.000070
33	0.000064
34	0.000063
35	0.000067
36	0.000060
37	0.000056
38	0.000061
39	0.000057
40	0.000055
41	0.000052
42	0.000052
43	0.000058
44	0.000123
45	0.000045
46	0.000482
47	0.000006
48	0.002045
49	0.000000
50	0.994919
