Tag Length (Average tag length = 49.893928)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000003
3	0.000033
4	0.000058
5	0.000066
6	0.000070
7	0.000077
8	0.000083
9	0.000088
10	0.000085
11	0.000087
12	0.000092
13	0.000088
14	0.000086
15	0.000094
16	0.000092
17	0.000099
18	0.000096
19	0.000103
20	0.000105
21	0.000097
22	0.000106
23	0.000102
24	0.000108
25	0.000101
26	0.000107
27	0.000098
28	0.000099
29	0.000101
30	0.000098
31	0.000101
32	0.000102
33	0.000095
34	0.000096
35	0.000095
36	0.000092
37	0.000086
38	0.000088
39	0.000079
40	0.000077
41	0.000075
42	0.000078
43	0.000074
44	0.000141
45	0.000054
46	0.000584
47	0.000009
48	0.002950
49	0.000000
50	0.992602
